value_date,amount,type,narration,utr
2026-01-07,21687.36,CR,NEFT-RAZORPAY-SETL101-CR,UTR-70904100
2026-01-08,20584.69,CR,IMPS/RAZORPAY/SETL102,UTR-75777918
2026-01-09,23359.45,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-55431317
2026-01-12,20733.41,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-89907450
2026-01-13,22283.20,CR,NEFT RAZORPAYSETL105 CR,UTR-21424651
2026-01-14,17440.10,CR,NEFT-RAZORPAY-SETL106-CR,UTR-12662540
2026-01-15,21095.42,CR,IMPS/RAZORPAY/SETL107,UTR-16382633
2026-01-16,14777.85,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-85578495
2026-01-17,19408.65,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-21222515
2026-01-19,21884.02,CR,NEFT RAZORPAYSETL110 CR,UTR-95126506
2026-01-20,20209.96,CR,NEFT-RAZORPAY-SETL111-CR,UTR-27408086
2026-01-21,23761.58,CR,IMPS/RAZORPAY/SETL112,UTR-65031946
2026-01-22,23433.81,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-35819812
2026-01-23,24455.27,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-66823279
2026-01-26,24085.43,CR,NEFT RAZORPAYSETL115 CR,UTR-98987650
2026-01-27,26545.15,CR,NEFT-RAZORPAY-SETL116-CR,UTR-98272069
2026-01-28,16009.67,CR,IMPS/RAZORPAY/SETL117,UTR-88694050
2026-01-29,15389.35,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-87676386
2026-01-30,22571.56,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-12377590
2026-01-31,24151.96,CR,NEFT RAZORPAYSETL120 CR,UTR-12629509
2026-02-02,26202.70,CR,NEFT-RAZORPAY-SETL121-CR,UTR-26289132
2026-02-03,22748.06,CR,IMPS/RAZORPAY/SETL122,UTR-53006485
2026-02-04,16093.54,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-39268571
2026-02-05,21045.52,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-37337156
