settlement_id,utr,settle_date,gross,fee,gst,net,order_id
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1009
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1071
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1133
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1195
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1257
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1319
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1381
SETL-110,UTR-18620650,2026-01-19,27778.00,508.33,91.49,27178.18,ORD-1443
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1010
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1072
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1196
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1258
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1320
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1382
SETL-111,UTR-65682626,2026-01-20,20091.00,367.66,66.17,19657.17,ORD-1444
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1011
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1073
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1135
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1197
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1259
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1321
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1383
SETL-112,UTR-64707061,2026-01-21,16553.00,302.91,54.52,16195.57,ORD-1445
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1012
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1074
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1136
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1198
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1260
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1322
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1384
SETL-113,UTR-54410148,2026-01-22,18325.00,335.34,60.36,17929.30,ORD-1446
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1013
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1075
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1137
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1199
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1261
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1323
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1385
SETL-114,UTR-82828034,2026-01-23,16775.00,307.36,55.32,16412.32,ORD-1447
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1014
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1076
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1138
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1200
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1262
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1324
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1386
SETL-115,UTR-72535301,2026-01-26,19915.00,364.44,65.59,19484.97,ORD-1448
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1015
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1077
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1139
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1201
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1263
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1325
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1387
SETL-116,UTR-65804273,2026-01-27,20932.00,383.05,68.94,20480.01,ORD-1449
SETL-117,UTR-18357162,2026-01-28,15985.00,292.52,52.65,15639.83,ORD-1016
SETL-117,UTR-18357162,2026-01-28,15985.00,292.52,52.65,15639.83,ORD-1078
SETL-117,UTR-18357162,2026-01-28,15985.00,292.52,52.65,15639.83,ORD-1140
SETL-117,UTR-18357162,2026-01-28,15985.00,292.52,52.65,15639.83,ORD-1202
SETL-117,UTR-18357162,2026-01-28,15985.00,292.52,52.65,15639.83,ORD-1264
