value_date,amount,type,narration,utr
2026-01-07,21132.60,CR,NEFT-RAZORPAY-SETL101-CR,UTR-52910691
2026-01-08,23373.16,CR,IMPS/RAZORPAY/SETL102,UTR-82498004
2026-01-09,20149.87,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-20814950
2026-01-12,26455.13,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-28572252
2026-01-13,26342.62,CR,NEFT RAZORPAYSETL105 CR,UTR-30244148
2026-01-14,25830.91,CR,NEFT-RAZORPAY-SETL106-CR,UTR-41039390
2026-01-15,23013.10,CR,IMPS/RAZORPAY/SETL107,UTR-61410126
2026-01-16,20896.64,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-30509175
2026-01-17,12989.32,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-38716269
2026-01-19,27178.18,CR,NEFT RAZORPAYSETL110 CR,UTR-18620650
2026-01-20,19657.17,CR,NEFT-RAZORPAY-SETL111-CR,UTR-65682626
2026-01-21,16195.57,CR,IMPS/RAZORPAY/SETL112,UTR-64707061
2026-01-22,17929.30,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-54410148
2026-01-23,16412.32,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-82828034
2026-01-26,19484.97,CR,NEFT RAZORPAYSETL115 CR,UTR-72535301
2026-01-27,20480.01,CR,NEFT-RAZORPAY-SETL116-CR,UTR-65804273
2026-01-28,15639.83,CR,IMPS/RAZORPAY/SETL117,UTR-18357162
2026-01-29,14576.30,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-37760841
2026-01-30,19652.27,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-66390708
2026-01-31,19893.94,CR,NEFT RAZORPAYSETL120 CR,UTR-62274692
2026-02-02,20916.38,CR,NEFT-RAZORPAY-SETL121-CR,UTR-88393811
2026-02-03,22575.75,CR,IMPS/RAZORPAY/SETL122,UTR-12621534
2026-02-04,20835.17,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-87267850
2026-02-05,23164.75,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-61053877
2026-02-06,22854.60,CR,NEFT RAZORPAYSETL125 CR,UTR-74019136
2026-02-07,24097.17,CR,NEFT-RAZORPAY-SETL126-CR,UTR-10791358
2026-02-09,21809.66,CR,IMPS/RAZORPAY/SETL127,UTR-57212267
2026-02-10,20567.08,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-50079111
2026-02-11,25370.08,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-62343121
2026-02-12,14906.02,CR,NEFT RAZORPAYSETL130 CR,UTR-66240084
2026-02-13,22153.08,CR,NEFT-RAZORPAY-SETL131-CR,UTR-82238741
2026-02-16,21164.89,CR,IMPS/RAZORPAY/SETL132,UTR-83300637
2026-02-17,24582.46,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-90967191
2026-02-17,24582.46,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-90967191
2026-02-18,20933.01,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-39600202
2026-02-19,16833.48,CR,NEFT RAZORPAYSETL135 CR,UTR-75529051
2026-02-20,25047.78,CR,NEFT-RAZORPAY-SETL136-CR,UTR-39450273
2026-02-21,27435.49,CR,IMPS/RAZORPAY/SETL137,UTR-46632757
2026-02-23,12124.25,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-68496914
2026-02-23,12124.25,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-68496914
2026-02-24,20163.98,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-75181765
2026-02-25,22332.13,CR,NEFT RAZORPAYSETL140 CR,UTR-13895645
2026-02-26,24865.22,CR,NEFT-RAZORPAY-SETL141-CR,UTR-62191530
2026-02-27,20568.06,CR,IMPS/RAZORPAY/SETL142,UTR-55114543
2026-03-02,25343.66,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-99774697
2026-03-03,21848.80,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-64266464
2026-03-04,22530.74,CR,NEFT RAZORPAYSETL145 CR,UTR-32151928
2026-03-05,21914.35,CR,NEFT-RAZORPAY-SETL146-CR,UTR-72732043
2026-03-06,24054.12,CR,IMPS/RAZORPAY/SETL147,UTR-27129912
2026-03-07,18160.21,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-93517915
2026-03-09,18646.47,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-81688860
2026-03-10,18222.83,CR,NEFT RAZORPAYSETL150 CR,UTR-13619375
2026-03-11,21472.11,CR,NEFT-RAZORPAY-SETL151-CR,UTR-62884503
2026-03-12,22091.44,CR,IMPS/RAZORPAY/SETL152,UTR-89442503
2026-03-13,19514.32,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-85751409
2026-03-16,19185.57,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-98986321
2026-03-17,19727.61,CR,NEFT RAZORPAYSETL155 CR,UTR-13637575
2026-03-18,23859.42,CR,NEFT-RAZORPAY-SETL156-CR,UTR-21267237
2026-03-19,21959.36,CR,IMPS/RAZORPAY/SETL157,UTR-96268397
2026-03-20,20229.34,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-67527432
2026-03-21,24179.36,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-28213276
2026-03-23,18100.52,CR,NEFT RAZORPAYSETL160 CR,UTR-71968116
2026-03-24,22233.31,CR,NEFT-RAZORPAY-SETL161-CR,UTR-34391257
2026-03-25,20547.12,CR,IMPS/RAZORPAY/SETL162,UTR-16749089
