value_date,amount,type,narration,utr
2026-01-07,19675.75,CR,NEFT-RAZORPAY-SETL101-CR,UTR-11125547
2026-01-08,24576.59,CR,IMPS/RAZORPAY/SETL102,UTR-82838136
2026-01-09,23414.25,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-53002345
2026-01-12,16285.58,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-41778697
2026-01-13,21569.95,CR,NEFT RAZORPAYSETL105 CR,UTR-89811904
2026-01-14,25954.19,CR,NEFT-RAZORPAY-SETL106-CR,UTR-62332983
2026-01-15,17874.51,CR,IMPS/RAZORPAY/SETL107,UTR-82631618
2026-01-15,17874.51,CR,IMPS/RAZORPAY/SETL107,UTR-82631618
2026-01-16,20475.11,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-48205522
2026-01-17,24094.24,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-72934357
2026-01-19,23335.97,CR,NEFT RAZORPAYSETL110 CR,UTR-95604873
2026-01-20,27282.86,CR,NEFT-RAZORPAY-SETL111-CR,UTR-30210316
2026-01-21,24455.27,CR,IMPS/RAZORPAY/SETL112,UTR-58294427
2026-01-22,19847.95,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-52459848
2026-01-23,24953.28,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-37129339
2026-01-26,21344.91,CR,NEFT RAZORPAYSETL115 CR,UTR-76901013
2026-01-27,26204.83,CR,NEFT-RAZORPAY-SETL116-CR,UTR-22756778
2026-01-28,25985.50,CR,IMPS/RAZORPAY/SETL117,UTR-29085754
2026-01-29,14622.29,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-37426804
2026-01-30,24406.35,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-54470564
2026-01-31,22321.37,CR,NEFT RAZORPAYSETL120 CR,UTR-43685969
2026-02-02,23474.90,CR,NEFT-RAZORPAY-SETL121-CR,UTR-28974018
2026-02-03,23125.62,CR,IMPS/RAZORPAY/SETL122,UTR-66424804
2026-02-04,25074.60,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-58373681
2026-02-04,25074.60,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-58373681
2026-02-05,23238.13,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-43578085
2026-02-06,17391.17,CR,NEFT RAZORPAYSETL125 CR,UTR-21964367
2026-02-07,22382.02,CR,NEFT-RAZORPAY-SETL126-CR,UTR-55995060
2026-02-09,26123.45,CR,IMPS/RAZORPAY/SETL127,UTR-35167893
2026-02-10,20382.17,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-43082172
2026-02-11,18098.56,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-42224123
2026-02-12,20301.94,CR,NEFT RAZORPAYSETL130 CR,UTR-91953983
2026-02-13,16413.95,CR,NEFT-RAZORPAY-SETL131-CR,UTR-16288416
2026-02-16,23313.47,CR,IMPS/RAZORPAY/SETL132,UTR-55158639
2026-02-17,19369.51,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-60034896
2026-02-18,20727.54,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-96969643
2026-02-19,19584.76,CR,NEFT RAZORPAYSETL135 CR,UTR-92067597
2026-02-20,21397.75,CR,NEFT-RAZORPAY-SETL136-CR,UTR-18279668
2026-02-21,24219.48,CR,IMPS/RAZORPAY/SETL137,UTR-29333042
2026-02-23,25052.09,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-33820049
2026-02-24,22945.58,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-18463971
2026-02-25,22515.10,CR,NEFT RAZORPAYSETL140 CR,UTR-67683743
2026-02-26,17203.69,CR,NEFT-RAZORPAY-SETL141-CR,UTR-69539238
2026-02-27,19674.78,CR,IMPS/RAZORPAY/SETL142,UTR-46495413
2026-03-02,24447.44,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-27823234
2026-03-03,21743.61,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-53080952
2026-03-04,16504.74,CR,NEFT RAZORPAYSETL145 CR,UTR-80194541
2026-03-05,19595.91,CR,NEFT-RAZORPAY-SETL146-CR,UTR-87415610
2026-03-06,21788.13,CR,IMPS/RAZORPAY/SETL147,UTR-25624934
2026-03-07,22339.72,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-55371193
2026-03-09,22592.38,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-96999697
2026-03-10,19599.44,CR,NEFT RAZORPAYSETL150 CR,UTR-91923288
2026-03-11,25411.17,CR,NEFT-RAZORPAY-SETL151-CR,UTR-62958772
2026-03-12,20408.59,CR,IMPS/RAZORPAY/SETL152,UTR-40568802
2026-03-13,27914.92,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-17266657
2026-03-16,21352.75,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-62653988
2026-03-17,23730.27,CR,NEFT RAZORPAYSETL155 CR,UTR-73591470
2026-03-18,15451.97,CR,NEFT-RAZORPAY-SETL156-CR,UTR-75745359
2026-03-19,27401.25,CR,IMPS/RAZORPAY/SETL157,UTR-93145963
2026-03-20,21869.34,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-52525383
2026-03-21,20082.77,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-83099162
2026-03-23,17350.55,CR,NEFT RAZORPAYSETL160 CR,UTR-93420422
2026-03-24,22383.35,CR,NEFT-RAZORPAY-SETL161-CR,UTR-90199932
2026-03-25,26840.62,CR,IMPS/RAZORPAY/SETL162,UTR-22153079
