order_id,amount,capture_date,status
ORD-1000,963.00,2026-01-05,captured
ORD-1062,4486.00,2026-01-05,captured
ORD-1124,2843.00,2026-01-05,captured
ORD-1186,2473.00,2026-01-05,captured
ORD-1248,1644.00,2026-01-05,captured
ORD-1310,2536.00,2026-01-05,captured
ORD-1372,524.00,2026-01-05,captured
ORD-1434,2773.00,2026-01-05,captured
ORD-1496,1868.00,2026-01-05,captured
ORD-1002,1195.00,2026-01-07,captured
ORD-1064,3159.00,2026-01-07,captured
ORD-1126,4503.00,2026-01-07,captured
ORD-1188,1317.00,2026-01-07,captured
ORD-1250,3736.00,2026-01-07,captured
ORD-1312,2607.00,2026-01-07,captured
ORD-1374,4867.00,2026-01-07,captured
ORD-1436,1416.00,2026-01-07,captured
ORD-1498,1131.00,2026-01-07,captured
ORD-1003,3457.00,2026-01-08,captured
ORD-1065,1860.00,2026-01-08,captured
ORD-1127,752.00,2026-01-08,captured
ORD-1189,662.00,2026-01-08,captured
ORD-1251,1497.00,2026-01-08,captured
ORD-1313,1889.00,2026-01-08,captured
ORD-1375,1036.00,2026-01-08,captured
ORD-1437,1417.00,2026-01-08,captured
ORD-1499,4075.00,2026-01-08,captured
ORD-1004,1885.00,2026-01-09,captured
ORD-1066,2696.00,2026-01-09,captured
ORD-1128,3026.00,2026-01-09,captured
ORD-1190,1988.00,2026-01-09,captured
ORD-1252,2582.00,2026-01-09,captured
ORD-1314,1790.00,2026-01-09,captured
ORD-1376,4473.00,2026-01-09,captured
ORD-1438,3606.00,2026-01-09,captured
RFND-5004,-982.00,2026-01-11,refund
ORD-1005,3024.00,2026-01-12,captured
ORD-1067,4430.00,2026-01-12,captured
ORD-1129,4175.00,2026-01-12,captured
ORD-1191,2396.00,2026-01-12,captured
ORD-1253,1497.00,2026-01-12,captured
ORD-1315,4276.00,2026-01-12,captured
ORD-1377,3243.00,2026-01-12,captured
ORD-1439,3486.00,2026-01-12,captured
ORD-1006,2560.00,2026-01-13,captured
ORD-1068,3035.00,2026-01-13,captured
ORD-1130,874.00,2026-01-13,captured
ORD-1192,1361.00,2026-01-13,captured
ORD-1254,1507.00,2026-01-13,captured
ORD-1316,2420.00,2026-01-13,captured
ORD-1378,4262.00,2026-01-13,captured
ORD-1440,2250.00,2026-01-13,captured
ORD-1007,2238.00,2026-01-14,captured
ORD-1069,2984.00,2026-01-14,captured
ORD-1131,2662.00,2026-01-14,captured
ORD-1193,2280.00,2026-01-14,captured
ORD-1255,1159.00,2026-01-14,captured
ORD-1317,3810.00,2026-01-14,captured
ORD-1379,2686.00,2026-01-14,captured
ORD-1441,3108.00,2026-01-14,captured
ORD-1008,792.00,2026-01-15,captured
ORD-1070,4630.00,2026-01-15,captured
ORD-1132,3791.00,2026-01-15,captured
ORD-1194,700.00,2026-01-15,captured
ORD-1256,3240.00,2026-01-15,captured
ORD-1318,3437.00,2026-01-15,captured
ORD-1380,4619.00,2026-01-15,captured
ORD-1442,3417.00,2026-01-15,captured
ORD-1009,1797.00,2026-01-16,captured
ORD-1071,4741.00,2026-01-16,captured
ORD-1133,1757.00,2026-01-16,captured
ORD-1195,4765.00,2026-01-16,captured
ORD-1257,3703.00,2026-01-16,captured
ORD-1319,1685.00,2026-01-16,captured
ORD-1381,4270.00,2026-01-16,captured
ORD-1443,1133.00,2026-01-16,captured
ORD-1010,4028.00,2026-01-17,captured
ORD-1072,4656.00,2026-01-17,captured
ORD-1134,4373.00,2026-01-17,captured
ORD-1196,4304.00,2026-01-17,captured
ORD-1258,2236.00,2026-01-17,captured
ORD-1320,4322.00,2026-01-17,captured
ORD-1382,725.00,2026-01-17,captured
ORD-1444,3241.00,2026-01-17,captured
ORD-1011,3723.00,2026-01-19,captured
ORD-1073,3831.00,2026-01-19,captured
ORD-1135,2347.00,2026-01-19,captured
ORD-1197,4218.00,2026-01-19,captured
ORD-1259,1363.00,2026-01-19,captured
ORD-1321,4114.00,2026-01-19,captured
ORD-1383,1153.00,2026-01-19,captured
ORD-1445,4246.00,2026-01-19,captured
ORD-1012,4670.00,2026-01-20,captured
ORD-1074,3054.00,2026-01-20,captured
ORD-1136,1265.00,2026-01-20,captured
ORD-1198,3037.00,2026-01-20,captured
ORD-1260,702.00,2026-01-20,captured
ORD-1322,740.00,2026-01-20,captured
ORD-1384,3347.00,2026-01-20,captured
ORD-1446,3471.00,2026-01-20,captured
ORD-1013,3547.00,2026-01-21,captured
ORD-1075,2202.00,2026-01-21,captured
ORD-1137,3091.00,2026-01-21,captured
ORD-1199,4887.00,2026-01-21,captured
ORD-1261,4353.00,2026-01-21,captured
ORD-1323,3639.00,2026-01-21,captured
ORD-1385,1922.00,2026-01-21,captured
ORD-1447,1863.00,2026-01-21,captured
ORD-1014,4957.00,2026-01-22,captured
ORD-1076,4505.00,2026-01-22,captured
ORD-1138,1335.00,2026-01-22,captured
ORD-1200,3612.00,2026-01-22,captured
ORD-1262,853.00,2026-01-22,captured
ORD-1324,1978.00,2026-01-22,captured
ORD-1386,3813.00,2026-01-22,authorized
ORD-1448,4576.00,2026-01-22,captured
ORD-1015,4144.00,2026-01-23,captured
ORD-1077,4693.00,2026-01-23,captured
ORD-1139,698.00,2026-01-23,captured
ORD-1201,2240.00,2026-01-23,captured
ORD-1263,4579.00,2026-01-23,captured
ORD-1325,3718.00,2026-01-23,captured
ORD-1387,2591.00,2026-01-23,captured
ORD-1449,4120.00,2026-01-23,captured
ORD-1016,4612.00,2026-01-26,captured
ORD-1078,3503.00,2026-01-26,captured
ORD-1140,4168.00,2026-01-26,captured
ORD-1202,2221.00,2026-01-26,captured
ORD-1264,2881.00,2026-01-26,captured
ORD-1326,4679.00,2026-01-26,captured
ORD-1388,1604.00,2026-01-26,captured
ORD-1450,2891.00,2026-01-26,captured
ORD-1017,2697.00,2026-01-27,captured
ORD-1079,1117.00,2026-01-27,captured
ORD-1141,1544.00,2026-01-27,captured
ORD-1203,4053.00,2026-01-27,captured
ORD-1265,3429.00,2026-01-27,captured
ORD-1327,938.00,2026-01-27,captured
ORD-1389,943.00,2026-01-27,captured
ORD-1451,4277.00,2026-01-27,captured
ORD-1018,794.00,2026-01-28,captured
ORD-1080,3297.00,2026-01-28,captured
ORD-1142,4745.00,2026-01-28,captured
ORD-1204,3986.00,2026-01-28,captured
ORD-1266,4244.00,2026-01-28,captured
ORD-1328,4452.00,2026-01-28,captured
ORD-1390,1831.00,2026-01-28,captured
ORD-1452,1596.00,2026-01-28,captured
RFND-5001,-645.00,2026-01-28,refund
ORD-1019,724.00,2026-01-29,captured
ORD-1081,568.00,2026-01-29,captured
ORD-1143,3719.00,2026-01-29,captured
ORD-1205,4690.00,2026-01-29,captured
ORD-1267,1658.00,2026-01-29,captured
ORD-1329,2744.00,2026-01-29,captured
ORD-1391,4591.00,2026-01-29,captured
ORD-1453,4120.00,2026-01-29,captured
ORD-1020,3482.00,2026-01-30,captured
ORD-1082,2067.00,2026-01-30,captured
ORD-1144,4488.00,2026-01-30,captured
ORD-1206,674.00,2026-01-30,captured
ORD-1268,3571.00,2026-01-30,captured
ORD-1330,3817.00,2026-01-30,captured
ORD-1392,3626.00,2026-01-30,captured
ORD-1454,2268.00,2026-01-30,captured
ORD-1021,4308.00,2026-01-31,captured
ORD-1083,1369.00,2026-01-31,captured
ORD-1145,4717.00,2026-01-31,captured
ORD-1207,919.00,2026-01-31,captured
ORD-1269,2703.00,2026-01-31,captured
ORD-1331,2578.00,2026-01-31,captured
ORD-1393,4306.00,2026-01-31,captured
ORD-1455,2736.00,2026-01-31,captured
ORD-1022,3108.00,2026-02-02,captured
ORD-1084,981.00,2026-02-02,captured
ORD-1146,3186.00,2026-02-02,captured
ORD-1208,3924.00,2026-02-02,captured
ORD-1270,4466.00,2026-02-02,captured
ORD-1332,3876.00,2026-02-02,captured
ORD-1394,2915.00,2026-02-02,captured
ORD-1456,3172.00,2026-02-02,captured
ORD-1023,3613.00,2026-02-03,captured
ORD-1085,900.00,2026-02-03,captured
ORD-1147,1678.00,2026-02-03,captured
ORD-1209,4801.00,2026-02-03,captured
ORD-1271,4811.00,2026-02-03,captured
ORD-1333,4370.00,2026-02-03,captured
ORD-1395,1776.00,2026-02-03,captured
ORD-1457,1802.00,2026-02-03,failed
ORD-1024,3970.00,2026-02-04,captured
ORD-1086,2737.00,2026-02-04,captured
ORD-1148,3293.00,2026-02-04,captured
ORD-1210,1984.00,2026-02-04,captured
ORD-1272,4412.00,2026-02-04,captured
ORD-1334,3449.00,2026-02-04,captured
ORD-1396,585.00,2026-02-04,captured
ORD-1458,1315.00,2026-02-04,captured
ORD-1025,4806.00,2026-02-05,captured
ORD-1087,2356.00,2026-02-05,authorized
ORD-1149,2622.00,2026-02-05,captured
ORD-1211,1268.00,2026-02-05,captured
ORD-1273,3932.00,2026-02-05,captured
ORD-1335,4985.00,2026-02-05,captured
ORD-1397,2815.00,2026-02-05,captured
ORD-1459,2448.00,2026-02-05,captured
ORD-1026,1847.00,2026-02-06,captured
ORD-1088,1370.00,2026-02-06,captured
ORD-1150,2644.00,2026-02-06,captured
ORD-1212,4430.00,2026-02-06,captured
ORD-1274,4531.00,2026-02-06,captured
ORD-1336,3209.00,2026-02-06,captured
ORD-1398,4328.00,2026-02-06,captured
ORD-1460,4341.00,2026-02-06,captured
ORD-1027,1953.00,2026-02-07,captured
ORD-1089,4779.00,2026-02-07,captured
ORD-1151,3938.00,2026-02-07,captured
ORD-1213,3499.00,2026-02-07,captured
ORD-1275,2931.00,2026-02-07,captured
ORD-1337,1166.00,2026-02-07,captured
ORD-1399,514.00,2026-02-07,captured
ORD-1461,2052.00,2026-02-07,captured
ORD-1028,2434.00,2026-02-09,captured
ORD-1090,1618.00,2026-02-09,captured
ORD-1152,647.00,2026-02-09,captured
ORD-1214,659.00,2026-02-09,captured
ORD-1276,3733.00,2026-02-09,captured
ORD-1338,2343.00,2026-02-09,captured
ORD-1400,3502.00,2026-02-09,captured
ORD-1462,3562.00,2026-02-09,captured
ORD-1029,2389.00,2026-02-10,captured
ORD-1091,2677.00,2026-02-10,captured
ORD-1153,1651.00,2026-02-10,captured
ORD-1215,4753.00,2026-02-10,captured
ORD-1277,2397.00,2026-02-10,captured
ORD-1339,4865.00,2026-02-10,captured
ORD-1401,778.00,2026-02-10,captured
ORD-1463,2018.00,2026-02-10,captured
ORD-1030,695.00,2026-02-11,captured
ORD-1092,2505.00,2026-02-11,captured
ORD-1154,965.00,2026-02-11,captured
ORD-1216,1471.00,2026-02-11,captured
ORD-1278,1781.00,2026-02-11,captured
ORD-1340,2039.00,2026-02-11,captured
ORD-1402,4907.00,2026-02-11,captured
ORD-1464,3417.00,2026-02-11,captured
ORD-1031,1947.00,2026-02-12,captured
ORD-1093,2224.00,2026-02-12,captured
ORD-1155,2572.00,2026-02-12,captured
ORD-1217,3502.00,2026-02-12,captured
ORD-1279,4504.00,2026-02-12,captured
ORD-1341,3799.00,2026-02-12,captured
ORD-1403,3632.00,2026-02-12,captured
ORD-1465,1648.00,2026-02-12,captured
ORD-1032,3163.00,2026-02-13,captured
ORD-1094,994.00,2026-02-13,captured
ORD-1156,774.00,2026-02-13,captured
ORD-1218,2872.00,2026-02-13,captured
ORD-1280,2625.00,2026-02-13,captured
ORD-1342,3633.00,2026-02-13,captured
ORD-1404,4127.00,2026-02-13,captured
ORD-1466,1609.00,2026-02-13,captured
ORD-1033,1922.00,2026-02-16,captured
ORD-1095,3964.00,2026-02-16,captured
ORD-1157,1578.00,2026-02-16,captured
ORD-1219,3549.00,2026-02-16,captured
ORD-1281,4993.00,2026-02-16,captured
ORD-1343,595.00,2026-02-16,captured
ORD-1405,2174.00,2026-02-16,captured
ORD-1467,2410.00,2026-02-16,captured
ORD-1034,1619.00,2026-02-17,captured
ORD-1096,761.00,2026-02-17,captured
ORD-1158,1820.00,2026-02-17,captured
ORD-1220,3025.00,2026-02-17,captured
ORD-1282,4003.00,2026-02-17,captured
ORD-1344,3063.00,2026-02-17,captured
ORD-1406,3026.00,2026-02-17,captured
ORD-1468,2700.00,2026-02-17,captured
ORD-1035,4679.00,2026-02-18,captured
ORD-1097,965.00,2026-02-18,captured
ORD-1159,1898.00,2026-02-18,captured
ORD-1221,656.00,2026-02-18,captured
ORD-1283,1190.00,2026-02-18,captured
ORD-1345,4305.00,2026-02-18,captured
ORD-1407,4581.00,2026-02-18,captured
ORD-1469,3596.00,2026-02-18,captured
ORD-1036,4679.00,2026-02-19,captured
ORD-1098,3468.00,2026-02-19,captured
ORD-1160,1285.00,2026-02-19,captured
ORD-1222,3877.00,2026-02-19,captured
ORD-1284,1286.00,2026-02-19,captured
ORD-1346,4789.00,2026-02-19,captured
ORD-1408,1592.00,2026-02-19,captured
ORD-1470,3778.00,2026-02-19,failed
ORD-1037,3446.00,2026-02-20,captured
ORD-1099,3450.00,2026-02-20,captured
ORD-1161,4214.00,2026-02-20,captured
ORD-1223,1328.00,2026-02-20,captured
ORD-1285,1082.00,2026-02-20,captured
ORD-1347,4319.00,2026-02-20,captured
ORD-1409,4463.00,2026-02-20,captured
ORD-1471,3303.00,2026-02-20,captured
ORD-1038,4708.00,2026-02-21,captured
ORD-1100,1908.00,2026-02-21,captured
ORD-1162,2397.00,2026-02-21,captured
ORD-1224,1360.00,2026-02-21,captured
ORD-1286,3416.00,2026-02-21,captured
ORD-1348,1953.00,2026-02-21,captured
ORD-1410,4911.00,2026-02-21,captured
ORD-1472,2799.00,2026-02-21,captured
RFND-5003,-477.00,2026-02-21,refund
ORD-1039,1989.00,2026-02-23,captured
ORD-1101,2543.00,2026-02-23,captured
ORD-1163,4663.00,2026-02-23,captured
ORD-1225,3006.00,2026-02-23,captured
ORD-1287,1942.00,2026-02-23,captured
ORD-1349,1273.00,2026-02-23,captured
ORD-1411,2979.00,2026-02-23,captured
ORD-1473,4617.00,2026-02-23,captured
ORD-1040,4150.00,2026-02-24,captured
ORD-1102,692.00,2026-02-24,captured
ORD-1164,757.00,2026-02-24,captured
ORD-1226,2125.00,2026-02-24,captured
ORD-1288,4966.00,2026-02-24,captured
ORD-1350,640.00,2026-02-24,captured
ORD-1412,1128.00,2026-02-24,captured
ORD-1474,3125.00,2026-02-24,captured
ORD-1041,3896.00,2026-02-25,captured
ORD-1103,1179.00,2026-02-25,captured
ORD-1165,2521.00,2026-02-25,captured
ORD-1227,628.00,2026-02-25,captured
ORD-1289,1700.00,2026-02-25,captured
ORD-1351,3800.00,2026-02-25,captured
ORD-1413,2613.00,2026-02-25,captured
ORD-1475,3772.00,2026-02-25,captured
ORD-1042,4803.00,2026-02-26,captured
ORD-1104,1443.00,2026-02-26,captured
ORD-1166,2404.00,2026-02-26,captured
ORD-1228,4198.00,2026-02-26,captured
ORD-1290,3914.00,2026-02-26,captured
ORD-1352,2273.00,2026-02-26,captured
ORD-1414,3064.00,2026-02-26,captured
ORD-1476,2888.00,2026-02-26,captured
ORD-1043,3483.00,2026-02-27,captured
ORD-1105,1052.00,2026-02-27,captured
ORD-1167,4142.00,2026-02-27,captured
ORD-1229,991.00,2026-02-27,captured
ORD-1291,1047.00,2026-02-27,captured
ORD-1353,3660.00,2026-02-27,captured
ORD-1415,2991.00,2026-02-27,captured
ORD-1477,4857.00,2026-02-27,captured
