settlement_id,utr,settle_date,gross,fee,gst,net,order_id
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1001
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1063
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1125
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1187
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1249
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1311
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1373
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1435
SETL-102,UTR-82838136,2026-01-08,25119.00,459.67,82.74,24576.59,ORD-1497
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1010
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1072
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1134
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1196
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1258
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1320
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1382
SETL-111,UTR-30210316,2026-01-20,27885.00,510.29,91.85,27282.86,ORD-1444
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1011
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1073
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1135
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1197
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1259
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1321
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1383
SETL-112,UTR-58294427,2026-01-21,24995.00,457.40,82.33,24455.27,ORD-1445
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1012
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1074
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1136
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1198
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1260
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1322
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1384
SETL-113,UTR-52459848,2026-01-22,20286.00,371.23,66.82,19847.95,ORD-1446
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1013
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1075
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1137
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1199
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1261
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1323
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1385
SETL-114,UTR-37129339,2026-01-23,25504.00,466.72,84.00,24953.28,ORD-1447
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1014
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1076
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1138
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1200
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1262
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1324
SETL-115,UTR-76901013,2026-01-26,21816.00,399.23,71.86,21344.91,ORD-1448
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1015
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1077
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1139
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1201
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1263
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1325
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1387
SETL-116,UTR-22756778,2026-01-27,26783.00,489.98,88.19,26204.83,ORD-1449
SETL-117,UTR-29085754,2026-01-28,26559.00,486.02,87.48,25985.50,ORD-1016
SETL-117,UTR-29085754,2026-01-28,26559.00,486.02,87.48,25985.50,ORD-1078
