value_date,amount,type,narration,utr
2026-01-07,26411.56,CR,NEFT-RAZORPAY-SETL101-CR,UTR-65337545
2026-01-08,24405.37,CR,IMPS/RAZORPAY/SETL102,UTR-76262539
2026-01-08,24405.37,CR,IMPS/RAZORPAY/SETL102,UTR-76262539
2026-01-09,17279.64,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-18579256
2026-01-12,22372.25,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-78535350
2026-01-13,18971.31,CR,NEFT RAZORPAYSETL105 CR,UTR-78307230
2026-01-14,19809.79,CR,NEFT-RAZORPAY-SETL106-CR,UTR-50100499
2026-01-15,26415.01,CR,IMPS/RAZORPAY/SETL107,UTR-85141639
2026-01-16,21995.55,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-47966918
2026-01-17,19139.59,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-37861367
2026-01-19,15806.16,CR,NEFT RAZORPAYSETL110 CR,UTR-68707111
2026-01-20,19489.86,CR,NEFT-RAZORPAY-SETL111-CR,UTR-53197300
2026-01-21,25733.07,CR,IMPS/RAZORPAY/SETL112,UTR-33470549
2026-01-22,19419.42,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-38817736
2026-01-23,23726.36,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-12408588
2026-01-26,23253.79,CR,NEFT RAZORPAYSETL115 CR,UTR-74237927
2026-01-27,25211.58,CR,NEFT-RAZORPAY-SETL116-CR,UTR-68682035
2026-01-28,15161.39,CR,IMPS/RAZORPAY/SETL117,UTR-47036722
2026-01-29,16603.56,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-54473297
2026-01-30,19836.21,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-64641737
2026-01-31,18211.09,CR,NEFT RAZORPAYSETL120 CR,UTR-94224345
2026-01-31,18211.09,CR,NEFT RAZORPAYSETL120 CR,UTR-94224345
2026-02-02,20379.22,CR,NEFT-RAZORPAY-SETL121-CR,UTR-64970453
2026-02-03,14784.70,CR,IMPS/RAZORPAY/SETL122,UTR-53111774
2026-02-04,22834.37,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-93230589
2026-02-05,19771.64,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-38207914
2026-02-06,25858.30,CR,NEFT RAZORPAYSETL125 CR,UTR-44358154
2026-02-07,15303.57,CR,NEFT-RAZORPAY-SETL126-CR,UTR-47532951
2026-02-09,20035.05,CR,IMPS/RAZORPAY/SETL127,UTR-78601356
2026-02-10,19111.21,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-21625396
2026-02-11,25771.22,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-14037624
2026-02-12,18602.35,CR,NEFT RAZORPAYSETL130 CR,UTR-64094908
2026-02-13,27253.51,CR,NEFT-RAZORPAY-SETL131-CR,UTR-45375875
2026-02-16,24053.15,CR,IMPS/RAZORPAY/SETL132,UTR-91725418
2026-02-17,23674.50,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-48540192
2026-02-18,19100.45,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-96101802
2026-02-19,19117.08,CR,NEFT RAZORPAYSETL135 CR,UTR-27770632
2026-02-20,23667.65,CR,NEFT-RAZORPAY-SETL136-CR,UTR-92265098
2026-02-21,28578.27,CR,IMPS/RAZORPAY/SETL137,UTR-51980240
2026-02-23,21420.47,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-21642398
2026-02-24,15075.29,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-32278896
2026-02-25,19374.41,CR,NEFT RAZORPAYSETL140 CR,UTR-93242377
2026-02-26,21341.01,CR,NEFT-RAZORPAY-SETL141-CR,UTR-22365456
2026-02-27,17190.60,CR,IMPS/RAZORPAY/SETL142,UTR-38400958
2026-03-02,19717.83,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-44037679
2026-03-03,24640.71,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-99758991
2026-03-04,27177.47,CR,NEFT RAZORPAYSETL145 CR,UTR-39007191
2026-03-05,24463.10,CR,NEFT-RAZORPAY-SETL146-CR,UTR-96184571
2026-03-06,23683.31,CR,IMPS/RAZORPAY/SETL147,UTR-77007097
2026-03-07,23561.00,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-25303744
2026-03-09,21473.08,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-96636895
2026-03-10,18196.40,CR,NEFT RAZORPAYSETL150 CR,UTR-55700766
2026-03-11,29410.90,CR,NEFT-RAZORPAY-SETL151-CR,UTR-11067667
2026-03-12,14203.53,CR,IMPS/RAZORPAY/SETL152,UTR-71153035
2026-03-13,23209.76,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-86514287
2026-03-16,15747.83,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-37344831
2026-03-17,18539.83,CR,NEFT RAZORPAYSETL155 CR,UTR-32343105
2026-03-18,18852.91,CR,NEFT-RAZORPAY-SETL156-CR,UTR-22551005
2026-03-19,21763.67,CR,IMPS/RAZORPAY/SETL157,UTR-42770708
2026-03-20,19858.72,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-79669346
2026-03-21,22802.75,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-22794356
2026-03-23,20350.85,CR,NEFT RAZORPAYSETL160 CR,UTR-25301365
2026-03-24,19035.88,CR,NEFT-RAZORPAY-SETL161-CR,UTR-52426162
2026-03-25,19814.69,CR,IMPS/RAZORPAY/SETL162,UTR-49809525
