value_date,amount,type,narration,utr
2026-01-07,24926.42,CR,NEFT-RAZORPAY-SETL101-CR,UTR-77744470
2026-01-08,19800.02,CR,IMPS/RAZORPAY/SETL102,UTR-10664449
2026-01-09,26566.67,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-22193908
2026-01-12,16728.79,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-45456120
2026-01-13,19710.97,CR,NEFT RAZORPAYSETL105 CR,UTR-22046497
2026-01-14,27221.22,CR,NEFT-RAZORPAY-SETL106-CR,UTR-29309252
2026-01-15,23006.00,CR,IMPS/RAZORPAY/SETL107,UTR-63621481
2026-01-16,24957.19,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-88759061
2026-01-17,22709.79,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-15592444
2026-01-19,20706.01,CR,NEFT RAZORPAYSETL110 CR,UTR-62878918
2026-01-20,21736.28,CR,NEFT-RAZORPAY-SETL111-CR,UTR-13019113
2026-01-21,21045.52,CR,IMPS/RAZORPAY/SETL112,UTR-50217813
2026-01-22,25223.32,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-50835013
2026-01-23,31890.17,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-94512860
2026-01-26,25975.71,CR,NEFT RAZORPAYSETL115 CR,UTR-41247171
2026-01-27,20533.81,CR,NEFT-RAZORPAY-SETL116-CR,UTR-21339077
2026-01-28,22968.09,CR,IMPS/RAZORPAY/SETL117,UTR-88595657
2026-01-29,18908.69,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-81026618
2026-01-30,24658.78,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-30837589
2026-01-31,15028.33,CR,NEFT RAZORPAYSETL120 CR,UTR-98254017
2026-02-02,19287.33,CR,NEFT-RAZORPAY-SETL121-CR,UTR-90068835
2026-02-03,21539.62,CR,IMPS/RAZORPAY/SETL122,UTR-62280015
2026-02-04,20435.97,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-53773065
2026-02-05,24472.88,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-76329160
2026-02-06,16905.89,CR,NEFT RAZORPAYSETL125 CR,UTR-30060604
2026-02-07,15977.39,CR,NEFT-RAZORPAY-SETL126-CR,UTR-48141534
2026-02-09,17613.71,CR,IMPS/RAZORPAY/SETL127,UTR-93041470
2026-02-10,16847.19,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-96331453
2026-02-11,15518.51,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-29428313
2026-02-12,15132.26,CR,NEFT RAZORPAYSETL130 CR,UTR-15877134
2026-02-13,22490.24,CR,NEFT-RAZORPAY-SETL131-CR,UTR-78851172
2026-02-16,24648.99,CR,IMPS/RAZORPAY/SETL132,UTR-94199092
2026-02-17,17536.96,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-67612248
2026-02-18,20024.07,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-77852569
2026-02-19,17625.02,CR,NEFT RAZORPAYSETL135 CR,UTR-28697550
2026-02-19,17625.02,CR,NEFT RAZORPAYSETL135 CR,UTR-28697550
2026-02-20,18458.62,CR,NEFT-RAZORPAY-SETL136-CR,UTR-80297512
2026-02-21,19832.30,CR,IMPS/RAZORPAY/SETL137,UTR-77695536
2026-02-21,19832.30,CR,IMPS/RAZORPAY/SETL137,UTR-77695536
2026-02-23,23636.34,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-86300026
2026-02-24,22010.23,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-12158188
2026-02-25,24568.76,CR,NEFT RAZORPAYSETL140 CR,UTR-88391409
2026-02-26,21058.24,CR,NEFT-RAZORPAY-SETL141-CR,UTR-96287208
2026-02-27,22225.48,CR,IMPS/RAZORPAY/SETL142,UTR-40862121
2026-03-02,14727.96,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-21420815
2026-03-03,16373.63,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-14182295
2026-03-04,28445.21,CR,NEFT RAZORPAYSETL145 CR,UTR-15618636
2026-03-05,21478.92,CR,NEFT-RAZORPAY-SETL146-CR,UTR-27863466
2026-03-06,22661.35,CR,IMPS/RAZORPAY/SETL147,UTR-95512782
2026-03-07,25957.13,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-58413337
2026-03-09,24902.40,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-24081650
2026-03-10,20629.70,CR,NEFT RAZORPAYSETL150 CR,UTR-60548847
2026-03-11,22574.77,CR,NEFT-RAZORPAY-SETL151-CR,UTR-70584027
2026-03-12,20001.56,CR,IMPS/RAZORPAY/SETL152,UTR-84964258
2026-03-13,22367.35,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-16815618
2026-03-16,20848.86,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-94257475
2026-03-17,20295.09,CR,NEFT RAZORPAYSETL155 CR,UTR-12528752
2026-03-18,17115.26,CR,NEFT-RAZORPAY-SETL156-CR,UTR-94050692
2026-03-19,26320.11,CR,IMPS/RAZORPAY/SETL157,UTR-81329184
2026-03-20,21941.59,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-42824244
2026-03-21,21530.82,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-75671971
2026-03-23,21869.34,CR,NEFT RAZORPAYSETL160 CR,UTR-45405683
2026-03-24,18645.49,CR,NEFT-RAZORPAY-SETL161-CR,UTR-10444841
2026-03-25,22107.10,CR,IMPS/RAZORPAY/SETL162,UTR-71330592
