value_date,amount,type,narration,utr
2026-01-07,32980.12,CR,NEFT-RAZORPAY-SETL101-CR,UTR-19206836
2026-01-08,26657.66,CR,IMPS/RAZORPAY/SETL102,UTR-24417793
2026-01-09,21306.48,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-34325207
2026-01-12,23736.14,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-84320405
2026-01-13,21064.11,CR,NEFT RAZORPAYSETL105 CR,UTR-82898362
2026-01-14,12329.89,CR,NEFT-RAZORPAY-SETL106-CR,UTR-87290337
2026-01-15,15043.00,CR,IMPS/RAZORPAY/SETL107,UTR-62593787
2026-01-16,26455.68,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-58214007
2026-01-17,24893.48,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-23402263
2026-01-19,27452.12,CR,NEFT RAZORPAYSETL110 CR,UTR-45681255
2026-01-20,21027.91,CR,NEFT-RAZORPAY-SETL111-CR,UTR-46351954
2026-01-21,12502.09,CR,IMPS/RAZORPAY/SETL112,UTR-61456350
2026-01-22,20062.22,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-17177001
2026-01-22,20062.22,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-17177001
2026-01-23,25889.61,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-28323915
2026-01-26,20196.27,CR,NEFT RAZORPAYSETL115 CR,UTR-15652019
2026-01-27,23252.81,CR,NEFT-RAZORPAY-SETL116-CR,UTR-74249891
2026-01-28,25906.25,CR,IMPS/RAZORPAY/SETL117,UTR-77741270
2026-01-29,19505.52,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-46408983
2026-01-30,19779.22,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-43178124
2026-01-31,25795.69,CR,NEFT RAZORPAYSETL120 CR,UTR-79084708
2026-02-02,15849.21,CR,NEFT-RAZORPAY-SETL121-CR,UTR-57527754
2026-02-03,21254.91,CR,IMPS/RAZORPAY/SETL122,UTR-54676066
2026-02-04,14041.11,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-64135225
2026-02-05,22259.72,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-70160688
2026-02-06,21069.98,CR,NEFT RAZORPAYSETL125 CR,UTR-82678647
2026-02-07,14881.17,CR,NEFT-RAZORPAY-SETL126-CR,UTR-19291657
2026-02-09,22329.19,CR,IMPS/RAZORPAY/SETL127,UTR-57363364
