order_id,amount,capture_date,status
RFND-5003,-636.00,2025-12-10,refund
ORD-1000,1600.00,2026-01-05,failed
ORD-1062,4995.00,2026-01-05,captured
ORD-1124,1181.00,2026-01-05,captured
ORD-1186,1079.00,2026-01-05,captured
ORD-1248,3275.00,2026-01-05,captured
ORD-1310,4185.00,2026-01-05,captured
ORD-1372,1919.00,2026-01-05,captured
ORD-1434,2452.00,2026-01-05,captured
ORD-1496,3844.00,2026-01-05,captured
ORD-1001,1016.00,2026-01-06,captured
ORD-1063,3569.00,2026-01-06,captured
ORD-1125,636.00,2026-01-06,captured
ORD-1187,1126.00,2026-01-06,captured
ORD-1249,3287.00,2026-01-06,captured
ORD-1311,3705.00,2026-01-06,captured
ORD-1373,1971.00,2026-01-06,captured
ORD-1435,3063.00,2026-01-06,captured
ORD-1497,1467.00,2026-01-06,captured
ORD-1002,2589.00,2026-01-07,captured
ORD-1064,1208.00,2026-01-07,captured
ORD-1126,4210.00,2026-01-07,captured
ORD-1188,3042.00,2026-01-07,captured
ORD-1250,1433.00,2026-01-07,captured
ORD-1312,3066.00,2026-01-07,captured
ORD-1374,1725.00,2026-01-07,captured
ORD-1436,4555.00,2026-01-07,captured
ORD-1498,2920.00,2026-01-07,captured
ORD-1003,1465.00,2026-01-08,captured
ORD-1065,4095.00,2026-01-08,captured
ORD-1127,619.00,2026-01-08,captured
ORD-1189,2940.00,2026-01-08,captured
ORD-1251,2885.00,2026-01-08,captured
ORD-1313,3764.00,2026-01-08,captured
ORD-1375,1659.00,2026-01-08,captured
ORD-1437,4422.00,2026-01-08,captured
ORD-1499,2774.00,2026-01-08,captured
ORD-1004,4558.00,2026-01-09,captured
ORD-1066,4665.00,2026-01-09,captured
ORD-1128,2803.00,2026-01-09,captured
ORD-1190,1796.00,2026-01-09,captured
ORD-1252,2426.00,2026-01-09,captured
ORD-1314,1015.00,2026-01-09,captured
ORD-1376,3119.00,2026-01-09,captured
ORD-1438,2343.00,2026-01-09,captured
ORD-1005,4182.00,2026-01-12,captured
ORD-1067,1384.00,2026-01-12,captured
ORD-1129,2544.00,2026-01-12,captured
ORD-1191,3909.00,2026-01-12,captured
ORD-1253,4504.00,2026-01-12,captured
ORD-1315,1025.00,2026-01-12,captured
ORD-1377,3003.00,2026-01-12,captured
ORD-1439,3877.00,2026-01-12,captured
RFND-5004,-218.00,2026-01-12,refund
ORD-1006,4368.00,2026-01-13,captured
ORD-1068,1841.00,2026-01-13,captured
ORD-1130,2700.00,2026-01-13,captured
ORD-1192,2567.00,2026-01-13,captured
ORD-1254,1608.00,2026-01-13,captured
ORD-1316,3099.00,2026-01-13,captured
ORD-1378,1375.00,2026-01-13,captured
