value_date,amount,type,narration,utr
2026-01-07,24000.31,CR,NEFT-RAZORPAY-SETL101-CR,UTR-43315037
2026-01-08,18775.58,CR,IMPS/RAZORPAY/SETL102,UTR-60848319
2026-01-08,18775.58,CR,IMPS/RAZORPAY/SETL102,UTR-60848319
2026-01-09,24213.61,CR,RTGS RAZORPAY SETTLEMENT 103,UTR-85077924
2026-01-12,24091.30,CR,NEFT RZPSETL104 COLLECTIONS CR,UTR-10538072
2026-01-13,22234.29,CR,NEFT RAZORPAYSETL105 CR,UTR-35479719
2026-01-14,23900.51,CR,NEFT-RAZORPAY-SETL106-CR,UTR-80915702
2026-01-15,20368.47,CR,IMPS/RAZORPAY/SETL107,UTR-68891124
2026-01-16,23868.23,CR,RTGS RAZORPAY SETTLEMENT 108,UTR-87723154
2026-01-17,17866.68,CR,NEFT RZPSETL109 COLLECTIONS CR,UTR-12823226
2026-01-19,14411.94,CR,NEFT RAZORPAYSETL110 CR,UTR-14135032
2026-01-20,23029.73,CR,NEFT-RAZORPAY-SETL111-CR,UTR-94225192
2026-01-21,18800.08,CR,IMPS/RAZORPAY/SETL112,UTR-91285952
2026-01-22,27645.85,CR,RTGS RAZORPAY SETTLEMENT 113,UTR-42512793
2026-01-23,18650.39,CR,NEFT RZPSETL114 COLLECTIONS CR,UTR-44949865
2026-01-26,18458.61,CR,NEFT RAZORPAYSETL115 CR,UTR-37730163
2026-01-27,25371.06,CR,NEFT-RAZORPAY-SETL116-CR,UTR-33199836
2026-01-28,19550.51,CR,IMPS/RAZORPAY/SETL117,UTR-48222741
2026-01-29,21549.41,CR,RTGS RAZORPAY SETTLEMENT 118,UTR-29919312
2026-01-30,20855.71,CR,NEFT RZPSETL119 COLLECTIONS CR,UTR-82791566
2026-01-31,24242.96,CR,NEFT RAZORPAYSETL120 CR,UTR-36903574
2026-02-02,15523.40,CR,NEFT-RAZORPAY-SETL121-CR,UTR-46671732
2026-02-03,20364.55,CR,IMPS/RAZORPAY/SETL122,UTR-51759920
2026-02-04,18136.18,CR,RTGS RAZORPAY SETTLEMENT 123,UTR-88616434
2026-02-05,22028.82,CR,NEFT RZPSETL124 COLLECTIONS CR,UTR-43672842
2026-02-06,18576.21,CR,NEFT RAZORPAYSETL125 CR,UTR-69914326
2026-02-07,26190.43,CR,NEFT-RAZORPAY-SETL126-CR,UTR-32545835
2026-02-09,26157.69,CR,IMPS/RAZORPAY/SETL127,UTR-83199262
2026-02-10,24150.99,CR,RTGS RAZORPAY SETTLEMENT 128,UTR-57909746
2026-02-11,17185.72,CR,NEFT RZPSETL129 COLLECTIONS CR,UTR-75875306
2026-02-12,25192.99,CR,NEFT RAZORPAYSETL130 CR,UTR-66366954
2026-02-13,23235.20,CR,NEFT-RAZORPAY-SETL131-CR,UTR-26347720
2026-02-16,20097.44,CR,IMPS/RAZORPAY/SETL132,UTR-38044153
2026-02-17,20446.74,CR,RTGS RAZORPAY SETTLEMENT 133,UTR-86577203
2026-02-18,19674.78,CR,NEFT RZPSETL134 COLLECTIONS CR,UTR-61439801
2026-02-19,25886.67,CR,NEFT RAZORPAYSETL135 CR,UTR-37490708
2026-02-20,22023.93,CR,NEFT-RAZORPAY-SETL136-CR,UTR-48124202
2026-02-21,18865.63,CR,IMPS/RAZORPAY/SETL137,UTR-24514198
2026-02-23,21340.02,CR,RTGS RAZORPAY SETTLEMENT 138,UTR-13241444
2026-02-24,23135.54,CR,NEFT RZPSETL139 COLLECTIONS CR,UTR-25847292
2026-02-25,17681.77,CR,NEFT RAZORPAYSETL140 CR,UTR-86411303
2026-02-26,23990.53,CR,NEFT-RAZORPAY-SETL141-CR,UTR-11773820
2026-02-26,23990.53,CR,NEFT-RAZORPAY-SETL141-CR,UTR-11773820
2026-02-27,12456.10,CR,IMPS/RAZORPAY/SETL142,UTR-83187194
2026-03-02,19248.19,CR,RTGS RAZORPAY SETTLEMENT 143,UTR-49783826
2026-03-03,18573.10,CR,NEFT RZPSETL144 COLLECTIONS CR,UTR-97158881
2026-03-04,22146.23,CR,NEFT RAZORPAYSETL145 CR,UTR-28333338
2026-03-05,24334.93,CR,NEFT-RAZORPAY-SETL146-CR,UTR-20090968
2026-03-06,22661.85,CR,IMPS/RAZORPAY/SETL147,UTR-77158722
2026-03-07,25019.73,CR,RTGS RAZORPAY SETTLEMENT 148,UTR-60160824
2026-03-09,26160.63,CR,NEFT RZPSETL149 COLLECTIONS CR,UTR-86850156
2026-03-10,19655.21,CR,NEFT RAZORPAYSETL150 CR,UTR-51775463
2026-03-11,21579.17,CR,NEFT-RAZORPAY-SETL151-CR,UTR-68675854
2026-03-12,22353.65,CR,IMPS/RAZORPAY/SETL152,UTR-77515877
2026-03-13,21931.96,CR,RTGS RAZORPAY SETTLEMENT 153,UTR-57891403
2026-03-16,24750.75,CR,NEFT RZPSETL154 COLLECTIONS CR,UTR-80919838
2026-03-17,21903.37,CR,NEFT RAZORPAYSETL155 CR,UTR-53444646
2026-03-18,18750.18,CR,NEFT-RAZORPAY-SETL156-CR,UTR-10113376
2026-03-19,17573.16,CR,IMPS/RAZORPAY/SETL157,UTR-26629681
2026-03-20,16394.18,CR,RTGS RAZORPAY SETTLEMENT 158,UTR-69366424
2026-03-21,20032.87,CR,NEFT RZPSETL159 COLLECTIONS CR,UTR-70337867
2026-03-23,22716.65,CR,NEFT RAZORPAYSETL160 CR,UTR-57004760
2026-03-24,17939.08,CR,NEFT-RAZORPAY-SETL161-CR,UTR-50909454
2026-03-25,25560.87,CR,IMPS/RAZORPAY/SETL162,UTR-82382996
